component,function,method,endpoint,mutating_candidate,business_decision,business_source,static_should_write_db,static_writes_db_detected,sql_before_after_covered,contract_pass
Dark Web Monitoring,start_monitoring_api_darkweb_start_monitoring_post,POST,/api/darkweb/start-monitoring,true,must_not_write_db,business_registry,true,false,false,true
Dark Web Monitoring,stop_monitoring_api_darkweb_stop_monitoring_post,POST,/api/darkweb/stop-monitoring,true,must_not_write_db,business_registry,true,false,false,true
Data Cleanup,get_cleanup_report_api_data_cleanup_report_get,GET,/api/data-cleanup/report,false,not_classified,none,,,false,true
Data Cleanup,get_removal_status_api_data_cleanup_status_get,GET,/api/data-cleanup/status,false,not_classified,none,,,false,true
Data Cleanup,get_scan_status_api_data_cleanup_scan_status_get,GET,/api/data-cleanup/scan-status,false,not_classified,none,,,false,true
Data Cleanup,get_user_preferences_api_data_cleanup_preferences_get,GET,/api/data-cleanup/preferences,false,not_classified,none,,,false,true
Data Cleanup,health_check_api_data_cleanup_health_get,GET,/api/data-cleanup/health,false,not_classified,none,,,false,true
Data Cleanup,remove_data_from_sites_api_data_cleanup_remove_post,POST,/api/data-cleanup/remove,true,not_classified,none,true,false,false,true
Data Cleanup,scan_broker_sites_api_data_cleanup_scan_post,POST,/api/data-cleanup/scan,true,not_classified,none,true,false,false,true
Data Cleanup,trigger_periodic_scan_api_data_cleanup_periodic_scan_post,POST,/api/data-cleanup/periodic-scan,true,must_not_write_db,business_registry,true,false,false,true
Data Cleanup,update_user_preferences_api_data_cleanup_preferences_post,POST,/api/data-cleanup/preferences,true,not_classified,none,true,false,false,true
Elderly Interface,sync_appointments_api_elderly_appointments_sync_post,POST,/api/elderly/appointments/sync,true,not_classified,none,true,false,false,true
Elderly Interface,sync_medications_api_elderly_medications_sync_post,POST,/api/elderly/medications/sync,true,not_classified,none,true,false,false,true
Elderly Interface,update_appointment_api_elderly_appointments_update_post,POST,/api/elderly/appointments/update,true,not_classified,none,true,false,false,true
Elderly Interface,update_medication_api_elderly_medications_update_post,POST,/api/elderly/medications/update,true,not_classified,none,true,false,false,true
Gamification,claim_gamification_achievement_api_gamification_achievements_claim_get,GET,/api/gamification/achievements/claim,false,not_classified,none,,,false,true
Gamification,claim_gamification_reward_api_gamification_rewards_claim_get,GET,/api/gamification/rewards/claim,false,not_classified,none,,,false,true
Gamification,get_gamification_achievements_api_gamification_achievements_get,GET,/api/gamification/achievements,false,not_classified,none,,,false,true
