component,function,endpoint,method,db_table,access_mode,retention,owner,status
components,components_bulk_update_compat_api_components_bulk_update_get,/api/components/bulk-update,GET,TBD,RO,TBD,backend-unknown,unmapped
components,components_config_compat_api_components_config_get,/api/components/config,GET,TBD,RO,TBD,backend-unknown,unmapped
Components,update_component_config_api_components_config_update__component_id__post,/api/components/config/update/{component_id},POST,TBD,RW,TBD,backend-unknown,unmapped
Components,get_component_config_api_components_config__component_id__get,/api/components/config/{component_id},GET,TBD,RO,TBD,backend-unknown,unmapped
components,get_component_configuration_api_components_configuration__component_id__get,/api/components/configuration/{component_id},GET,TBD,RO,TBD,backend-unknown,unmapped
components,update_component_configuration_api_components_configuration__component_id__post,/api/components/configuration/{component_id},POST,TBD,RW,TBD,backend-unknown,unmapped
Components,get_component_dependencies_api_components_dependencies__component_id__get,/api/components/dependencies/{component_id},GET,TBD,RO,TBD,backend-unknown,unmapped
components,disable_component_compat_api_components_disable_get,/api/components/disable,GET,TBD,RO,TBD,backend-unknown,unmapped
Components,disable_component_api_components_disable__component_id__post,/api/components/disable/{component_id},POST,TBD,RW,TBD,backend-unknown,unmapped
components,enable_component_compat_api_components_enable_get,/api/components/enable,GET,TBD,RO,TBD,backend-unknown,unmapped
Components,enable_component_api_components_enable__component_id__post,/api/components/enable/{component_id},POST,TBD,RW,TBD,backend-unknown,unmapped
Components,get_components_health_api_components_health_get,/api/components/health,GET,TBD,RO,TBD,backend-unknown,unmapped
Components,get_components_list_api_components_list_get,/api/components/list,GET,TBD,RO,TBD,backend-unknown,unmapped
Components,get_component_logs_api_components_logs__component_id__get,/api/components/logs/{component_id},GET,TBD,RO,TBD,backend-unknown,unmapped
Components,get_component_metrics_api_components_metrics__component_id__get,/api/components/metrics/{component_id},GET,TBD,RO,TBD,backend-unknown,unmapped
Components,restart_component_api_components_restart__component_id__post,/api/components/restart/{component_id},POST,TBD,RW,TBD,backend-unknown,unmapped
components,get_components_status_compat_api_components_status_get,/api/components/status,GET,TBD,RO,TBD,backend-unknown,unmapped
Components,get_all_components_status_api_components_status_all_get,/api/components/status/all,GET,TBD,RO,TBD,backend-unknown,unmapped
Components,get_component_status_api_components_status__component_id__get,/api/components/status/{component_id},GET,TBD,RO,TBD,backend-unknown,unmapped
components,update_component_status_compat_api_components_status__component_id__post,/api/components/status/{component_id},POST,TBD,RW,TBD,backend-unknown,unmapped
Components,test_component_api_components_test__component_id__post,/api/components/test/{component_id},POST,TBD,RW,TBD,backend-unknown,unmapped
Components,update_component_api_components_update__component_id__post,/api/components/update/{component_id},POST,TBD,RW,TBD,backend-unknown,unmapped
crash-detection-compat,crash_detection_alert_api_crash_detection_alert_get,/api/crash-detection/alert,GET,TBD,RO,TBD,backend-unknown,unmapped
Crash Detection,cancel_emergency_call_api_crash_detection_cancel_emergency_call_post,/api/crash-detection/cancel-emergency-call,POST,TBD,RW,TBD,backend-unknown,unmapped
Crash Detection,process_sensor_data_api_crash_detection_data_post,/api/crash-detection/data,POST,TBD,RW,TBD,backend-unknown,unmapped
Crash Detection,call_emergency_api_crash_detection_emergency_call_post,/api/crash-detection/emergency-call,POST,TBD,RW,TBD,backend-unknown,unmapped
Crash Detection,health_check_api_crash_detection_health_get,/api/crash-detection/health,GET,TBD,RO,TBD,backend-unknown,unmapped
Crash Detection,get_crash_history_api_crash_detection_history_get,/api/crash-detection/history,GET,TBD,RO,TBD,backend-unknown,unmapped
Crash Detection,get_crash_notifications_api_crash_detection_notifications_get,/api/crash-detection/notifications,GET,TBD,RO,TBD,backend-unknown,unmapped
Crash Detection,send_crash_notification_api_crash_detection_notifications_send_post,/api/crash-detection/notifications/send,POST,TBD,RW,TBD,backend-unknown,unmapped
Crash Detection,report_crash_api_crash_detection_report_post,/api/crash-detection/report,POST,TBD,RW,TBD,backend-unknown,unmapped
crash-detection-compat,crash_detection_settings_update_api_crash_detection_settings_update_get,/api/crash-detection/settings/update,GET,TBD,RO,TBD,backend-unknown,unmapped
crash-detection-compat,crash_detection_setup_api_crash_detection_setup_get,/api/crash-detection/setup,GET,TBD,RO,TBD,backend-unknown,unmapped
Crash Detection,start_monitoring_api_crash_detection_start_post,/api/crash-detection/start,POST,TBD,RW,TBD,backend-unknown,unmapped
Crash Detection,get_status_api_crash_detection_status_get,/api/crash-detection/status,GET,TBD,RO,TBD,backend-unknown,unmapped
Crash Detection,stop_monitoring_api_crash_detection_stop_post,/api/crash-detection/stop,POST,TBD,RW,TBD,backend-unknown,unmapped
Crash Detection,sync_crash_detection_api_crash_detection_sync_post,/api/crash-detection/sync,POST,TBD,RW,TBD,backend-unknown,unmapped
Dark Web Monitoring,get_breaches_api_darkweb_breaches_get,/api/darkweb/breaches,GET,TBD,RO,TBD,backend-unknown,unmapped
Dark Web Monitoring,check_email_breach_api_darkweb_check_post,/api/darkweb/check,POST,TBD,RW,TBD,backend-unknown,unmapped
Dark Web Monitoring,health_check_api_darkweb_health_get,/api/darkweb/health,GET,TBD,RO,TBD,backend-unknown,unmapped
Dark Web Monitoring,start_monitoring_api_darkweb_start_monitoring_post,/api/darkweb/start-monitoring,POST,TBD,RW,TBD,backend-unknown,unmapped
Dark Web Monitoring,get_monitoring_status_api_darkweb_status_get,/api/darkweb/status,GET,TBD,RO,TBD,backend-unknown,unmapped
Dark Web Monitoring,stop_monitoring_api_darkweb_stop_monitoring_post,/api/darkweb/stop-monitoring,POST,TBD,RW,TBD,backend-unknown,unmapped
Data Cleanup,health_check_api_data_cleanup_health_get,/api/data-cleanup/health,GET,TBD,RO,TBD,backend-unknown,unmapped
Data Cleanup,trigger_periodic_scan_api_data_cleanup_periodic_scan_post,/api/data-cleanup/periodic-scan,POST,TBD,RW,TBD,backend-unknown,unmapped
Data Cleanup,get_user_preferences_api_data_cleanup_preferences_get,/api/data-cleanup/preferences,GET,TBD,RO,TBD,backend-unknown,unmapped
Data Cleanup,update_user_preferences_api_data_cleanup_preferences_post,/api/data-cleanup/preferences,POST,TBD,RW,TBD,backend-unknown,unmapped
Data Cleanup,remove_data_from_sites_api_data_cleanup_remove_post,/api/data-cleanup/remove,POST,TBD,RW,TBD,backend-unknown,unmapped
Data Cleanup,get_cleanup_report_api_data_cleanup_report_get,/api/data-cleanup/report,GET,TBD,RO,TBD,backend-unknown,unmapped
Data Cleanup,scan_broker_sites_api_data_cleanup_scan_post,/api/data-cleanup/scan,POST,TBD,RW,TBD,backend-unknown,unmapped
Data Cleanup,get_scan_status_api_data_cleanup_scan_status_get,/api/data-cleanup/scan-status,GET,TBD,RO,TBD,backend-unknown,unmapped
Data Cleanup,get_removal_status_api_data_cleanup_status_get,/api/data-cleanup/status,GET,TBD,RO,TBD,backend-unknown,unmapped
misc-other-compat,devices_list_api_devices_get,/api/devices,GET,TBD,RO,TBD,backend-unknown,unmapped
driving-reports,record_event_api_driving_reports_event_post,/api/driving-reports/event,POST,TBD,RW,TBD,backend-unknown,unmapped
driving-reports,generate_report_api_driving_reports_generate_post,/api/driving-reports/generate,POST,TBD,RW,TBD,backend-unknown,unmapped
