component,function,endpoint,method,db_table,access_mode,retention,owner,status
Parental Control,report_location_api_parental_control_location_report_post,/api/parental-control/location/report,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,get_daily_reports_api_parental_control_reports_daily_get,/api/parental-control/reports/daily,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_weekly_reports_api_parental_control_reports_weekly_get,/api/parental-control/reports/weekly,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_parental_schedules_api_parental_control_schedules_get,/api/parental-control/schedules,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,delete_schedule_api_parental_control_schedules_delete_post,/api/parental-control/schedules/delete,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,get_schedules_history_api_parental_control_schedules_history_get,/api/parental-control/schedules/history,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,update_schedule_api_parental_control_schedules_update_post,/api/parental-control/schedules/update,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,get_schedules_api_parental_control_schedules__childId__get,/api/parental-control/schedules/{childId},GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_parental_settings_api_parental_control_settings_get,/api/parental-control/settings,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_parental_control_settings_conflicts_api_parental_control_settings_conflicts_get,/api/parental-control/settings/conflicts,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_parental_control_settings_history_api_parental_control_settings_history_get,/api/parental-control/settings/history,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,sync_parental_control_settings_api_parental_control_settings_sync_post,/api/parental-control/settings/sync,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,update_parental_control_settings_api_parental_control_settings_update_post,/api/parental-control/settings/update,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,get_parental_control_settings_api_parental_control_settings__familyId__get,/api/parental-control/settings/{familyId},GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_parental_control_stats_api_parental_control_stats_get,/api/parental-control/stats,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_parental_manager_status_api_parental_control_status_get,/api/parental-control/status,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_parental_time_limits_api_parental_control_time_limits_get,/api/parental-control/time-limits,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_time_limits_history_api_parental_control_time_limits_history_get,/api/parental-control/time-limits/history,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,reset_time_limits_api_parental_control_time_limits_reset_post,/api/parental-control/time-limits/reset,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,update_time_limits_api_parental_control_time_limits_update_post,/api/parental-control/time-limits/update,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,get_time_limits_api_parental_control_time_limits__childId__get,/api/parental-control/time-limits/{childId},GET,TBD,RO,TBD,parental-team,unmapped
parental-compat,parental_block_api_parental_block_get,/api/parental/block,GET,TBD,RO,TBD,backend-unknown,unmapped
Parental Control Bypass,apply_bypass_protection_api_parental_bypass_apply_post,/api/parental/bypass/apply,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control Bypass,get_bypass_stats_api_parental_bypass_stats_get,/api/parental/bypass/stats,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control Bypass,get_bypass_manager_status_api_parental_bypass_status_get,/api/parental/bypass/status,GET,TBD,RO,TBD,parental-team,unmapped
parental-compat,parental_control_api_parental_control_get,/api/parental/control,GET,TBD,RO,TBD,backend-unknown,unmapped
parental-compat,parental_limits_api_parental_limits_get,/api/parental/limits,GET,TBD,RO,TBD,backend-unknown,unmapped
payments,confirm_payment_api_payments_confirm_post,/api/payments/confirm,POST,TBD,RW,TBD,backend-unknown,unmapped
payments,create_payment_api_payments_create_post,/api/payments/create,POST,TBD,RW,TBD,backend-unknown,unmapped
payments,create_payment_qr_api_payments_qr_create_post,/api/payments/qr/create,POST,TBD,RW,TBD,backend-unknown,unmapped
misc-other-compat,payments_qr_status_test_api_payments_qr_status_test_get,/api/payments/qr/status/test,GET,TBD,RO,TBD,backend-unknown,unmapped
payments,recover_payment_code_api_payments_recover_post,/api/payments/recover,POST,TBD,RW,TBD,backend-unknown,unmapped
payments,check_payment_status_api_payments_status__payment_id__get,/api/payments/status/{payment_id},GET,TBD,RO,TBD,backend-unknown,unmapped
protection,disable_protection_category_api_protection_disable_post,/api/protection/disable,POST,TBD,RW,TBD,backend-unknown,unmapped
protection,enable_protection_category_api_protection_enable_post,/api/protection/enable,POST,TBD,RW,TBD,backend-unknown,unmapped
misc-other-compat,protection_quarantine_action_api_protection_quarantine_action_get,/api/protection/quarantine/action,GET,TBD,RO,TBD,backend-unknown,unmapped
protection,get_protection_settings_api_protection_settings_get,/api/protection/settings,GET,TBD,RO,TBD,backend-unknown,unmapped
protection,update_protection_settings_api_protection_settings_post,/api/protection/settings,POST,TBD,RW,TBD,backend-unknown,unmapped
protection,get_protection_stats_api_protection_stats_get,/api/protection/stats,GET,TBD,RO,TBD,backend-unknown,unmapped
protection,get_protection_status_api_protection_status_get,/api/protection/status,GET,TBD,RO,TBD,backend-unknown,unmapped
protection,sync_protection_settings_api_protection_sync_post,/api/protection/sync,POST,TBD,RW,TBD,backend-unknown,unmapped
protection,get_threat_scenarios_api_protection_threat_scenarios_get,/api/protection/threat-scenarios,GET,TBD,RO,TBD,backend-unknown,unmapped
misc-other-compat,protection_threats_api_protection_threats_get,/api/protection/threats,GET,TBD,RO,TBD,backend-unknown,unmapped
misc-other-compat,protection_threats_test_api_protection_threats_test_get,/api/protection/threats/test,GET,TBD,RO,TBD,backend-unknown,unmapped
referral,get_referral_code_api_referral_code_get,/api/referral/code,GET,TBD,RO,TBD,backend-unknown,unmapped
referral,get_referral_history_api_referral_history_get,/api/referral/history,GET,TBD,RO,TBD,backend-unknown,unmapped
referral,get_referral_rewards_api_referral_rewards_get,/api/referral/rewards,GET,TBD,RO,TBD,backend-unknown,unmapped
referral,get_referral_stats_api_referral_stats_get,/api/referral/stats,GET,TBD,RO,TBD,backend-unknown,unmapped
referral-test,test_apply_discount_api_referral_test_discount_apply_get,/api/referral/test/discount/apply,GET,TBD,RO,TBD,backend-unknown,unmapped
referral-test,test_confirm_payment_api_referral_test_payment_confirm_post,/api/referral/test/payment/confirm,POST,TBD,RW,TBD,backend-unknown,unmapped
referral-test,test_create_payment_api_referral_test_payment_create_post,/api/referral/test/payment/create,POST,TBD,RW,TBD,backend-unknown,unmapped
Reports,reports_ai_categories_allow_api_reports_ai_categories_allow_get,/api/reports/ai-categories/allow,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_ai_categories_block_api_reports_ai_categories_block_get,/api/reports/ai-categories/block,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_ai_categories_reports_api_reports_ai_categories_reports_get,/api/reports/ai-categories/reports,GET,TBD,RO,TBD,reports-team,unmapped
Reports,get_ai_categories_stats_api_reports_ai_categories_stats_get,/api/reports/ai-categories/stats,GET,public.ai_category_reports,RO,TBD(public legacy model),reports-team,mapped
Reports,reports_dark_web_leaks_compat_api_reports_dark_web_leaks_get,/api/reports/dark-web/leaks,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_dark_web_leaks_api_reports_dark_web_leaks_list_get,/api/reports/dark-web/leaks/list,GET,darkweb.darkweb_leaks,RO,72h raw / aggregates policy,reports-team,mapped
Reports,reports_dark_web_resolve_api_reports_dark_web_resolve_get,/api/reports/dark-web/resolve,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_dark_web_scan_fast_api_reports_dark_web_scan_fast_get,/api/reports/dark-web/scan/fast,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_dark_web_scan_secure_api_reports_dark_web_scan_secure_get,/api/reports/dark-web/scan/secure,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_dark_web_scan_start_api_reports_dark_web_scan_start_get,/api/reports/dark-web/scan/start,GET,darkweb.darkweb_leaks,RO,72h raw / aggregates policy,reports-team,mapped
Reports,reports_dark_web_scan_start_post_api_reports_dark_web_scan_start_post,/api/reports/dark-web/scan/start,POST,darkweb.darkweb_leaks,RW,72h raw / aggregates policy,reports-team,mapped
Reports,reports_dark_web_scans_api_reports_dark_web_scans_get,/api/reports/dark-web/scans,GET,TBD,RO,TBD,reports-team,unmapped
Reports,get_dark_web_stats_api_reports_dark_web_stats_get,/api/reports/dark-web/stats,GET,darkweb.darkweb_leaks,RO,72h raw / aggregates policy,reports-team,mapped
Reports,reports_driving_root_api_reports_driving_get,/api/reports/driving,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_driving_behavior_api_reports_driving_behavior_get,/api/reports/driving/behavior,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_driving_end_api_reports_driving_end_get,/api/reports/driving/end,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_driving_events_api_reports_driving_events_get,/api/reports/driving/events,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_driving_export_api_reports_driving_export_get,/api/reports/driving/export,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_driving_score_api_reports_driving_score_get,/api/reports/driving/score,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_driving_start_api_reports_driving_start_get,/api/reports/driving/start,GET,TBD,RO,TBD,reports-team,unmapped
Reports,get_driving_reports_stats_api_reports_driving_stats_get,/api/reports/driving/stats,GET,public.parental_reports,RO,TBD(public legacy model),reports-team,mapped
Reports,reports_identity_theft_allow_api_reports_identity_theft_allow_get,/api/reports/identity-theft/allow,GET,identity.identity_attempts,RO,90d raw / aggregates policy,reports-team,mapped
Reports,reports_identity_theft_allow_post_api_reports_identity_theft_allow_post,/api/reports/identity-theft/allow,POST,identity.identity_attempts,RW,90d raw / aggregates policy,reports-team,mapped
Reports,reports_identity_theft_attempts_compat_api_reports_identity_theft_attempts_get,/api/reports/identity-theft/attempts,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_identity_theft_attempts_api_reports_identity_theft_attempts_list_get,/api/reports/identity-theft/attempts/list,GET,identity.identity_attempts,RO,90d raw / aggregates policy,reports-team,mapped
Reports,reports_identity_theft_block_api_reports_identity_theft_block_get,/api/reports/identity-theft/block,GET,identity.identity_attempts,RO,90d raw / aggregates policy,reports-team,mapped
Reports,reports_identity_theft_block_post_api_reports_identity_theft_block_post,/api/reports/identity-theft/block,POST,identity.identity_attempts,RW,90d raw / aggregates policy,reports-team,mapped
Reports,get_identity_theft_stats_api_reports_identity_theft_stats_get,/api/reports/identity-theft/stats,GET,identity.identity_attempts,RO,90d raw / aggregates policy,reports-team,mapped
Reports,reports_identity_theft_whitelist_api_reports_identity_theft_whitelist_get,/api/reports/identity-theft/whitelist,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_privacy_cleanup_records_compat_api_reports_privacy_cleanup_records_get,/api/reports/privacy/cleanup/records,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_privacy_cleanup_records_api_reports_privacy_cleanup_records_list_get,/api/reports/privacy/cleanup/records/list,GET,cleanup.cleanup_records,RO,365d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_cleanup_start_api_reports_privacy_cleanup_start_get,/api/reports/privacy/cleanup/start,GET,cleanup.cleanup_records,RO,365d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_cleanup_start_post_api_reports_privacy_cleanup_start_post,/api/reports/privacy/cleanup/start,POST,cleanup.cleanup_records,RW,365d raw / aggregates policy,reports-team,mapped
Reports,get_cleanup_stats_api_reports_privacy_cleanup_stats_get,/api/reports/privacy/cleanup/stats,GET,cleanup.cleanup_records,RO,365d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_location_allow_api_reports_privacy_location_allow_get,/api/reports/privacy/location/allow,GET,location.location_requests,RO,90d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_location_allow_post_api_reports_privacy_location_allow_post,/api/reports/privacy/location/allow,POST,location.location_requests,RW,90d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_location_block_api_reports_privacy_location_block_get,/api/reports/privacy/location/block,GET,location.location_requests,RO,90d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_location_block_post_api_reports_privacy_location_block_post,/api/reports/privacy/location/block,POST,location.location_requests,RW,90d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_location_bubble_api_reports_privacy_location_bubble_get,/api/reports/privacy/location/bubble,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_privacy_location_requests_compat_api_reports_privacy_location_requests_get,/api/reports/privacy/location/requests,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_privacy_location_requests_api_reports_privacy_location_requests_list_get,/api/reports/privacy/location/requests/list,GET,location.location_requests,RO,90d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_location_send_api_reports_privacy_location_send_get,/api/reports/privacy/location/send,GET,TBD,RO,TBD,reports-team,unmapped
Reports,get_location_stats_api_reports_privacy_location_stats_get,/api/reports/privacy/location/stats,GET,location.location_requests,RO,90d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_location_update_accuracy_api_reports_privacy_location_update_accuracy_get,/api/reports/privacy/location/update-accuracy,GET,TBD,RO,TBD,reports-team,unmapped
Reports,get_tracker_stats_api_reports_privacy_tracker_stats_get,/api/reports/privacy/tracker/stats,GET,tracker.tracker_blocks,RO,180d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_tracker_top_compat_api_reports_privacy_tracker_top_get,/api/reports/privacy/tracker/top,GET,TBD,RO,TBD,reports-team,unmapped
Reports,reports_privacy_tracker_top_api_reports_privacy_tracker_top_list_get,/api/reports/privacy/tracker/top/list,GET,tracker.tracker_blocks,RO,180d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_tracker_whitelist_api_reports_privacy_tracker_whitelist_get,/api/reports/privacy/tracker/whitelist,GET,tracker.tracker_blocks,RO,180d raw / aggregates policy,reports-team,mapped
Reports,reports_privacy_tracker_whitelist_post_api_reports_privacy_tracker_whitelist_post,/api/reports/privacy/tracker/whitelist,POST,tracker.tracker_blocks,RW,180d raw / aggregates policy,reports-team,mapped
Roadside Assistance,call_assistance_api_roadside_assistance_call_post,/api/roadside-assistance/call,POST,TBD,RW,TBD,backend-unknown,unmapped
Roadside Assistance,cancel_request_api_roadside_assistance_cancel__request_id__post,/api/roadside-assistance/cancel/{request_id},POST,TBD,RW,TBD,backend-unknown,unmapped
Roadside Assistance,health_check_api_roadside_assistance_health_get,/api/roadside-assistance/health,GET,TBD,RO,TBD,backend-unknown,unmapped
Roadside Assistance,get_history_api_roadside_assistance_history_get,/api/roadside-assistance/history,GET,TBD,RO,TBD,backend-unknown,unmapped
Roadside Assistance,get_status_api_roadside_assistance_status__request_id__get,/api/roadside-assistance/status/{request_id},GET,TBD,RO,TBD,backend-unknown,unmapped
App Settings,get_biometry_settings_api_settings_biometry_get,/api/settings/biometry,GET,TBD,RO,TBD,backend-unknown,unmapped
App Settings,update_biometry_settings_api_settings_biometry_update_post,/api/settings/biometry/update,POST,TBD,RW,TBD,backend-unknown,unmapped
App Settings,get_language_settings_api_settings_language_get,/api/settings/language,GET,TBD,RO,TBD,backend-unknown,unmapped
App Settings,update_language_settings_api_settings_language_update_post,/api/settings/language/update,POST,TBD,RW,TBD,backend-unknown,unmapped
App Settings,get_notification_settings_api_settings_notifications_get,/api/settings/notifications,GET,TBD,RO,TBD,backend-unknown,unmapped
App Settings,update_notification_settings_api_settings_notifications_update_post,/api/settings/notifications/update,POST,TBD,RW,TBD,backend-unknown,unmapped
App Settings,sync_app_settings_api_settings_sync_post,/api/settings/sync,POST,TBD,RW,TBD,backend-unknown,unmapped
App Settings,get_theme_settings_api_settings_theme_get,/api/settings/theme,GET,TBD,RO,TBD,backend-unknown,unmapped
App Settings,update_theme_settings_api_settings_theme_update_post,/api/settings/theme/update,POST,TBD,RW,TBD,backend-unknown,unmapped
App Settings,update_app_settings_api_settings_update_post,/api/settings/update,POST,TBD,RW,TBD,backend-unknown,unmapped
subscription-compat,subscription_activate_api_subscription_activate_get,/api/subscription/activate,GET,TBD,RO,TBD,backend-unknown,unmapped
subscription-compat,subscription_activation_activate_api_subscription_activation_activate_get,/api/subscription/activation/activate,GET,TBD,RO,TBD,backend-unknown,unmapped
subscription-compat,subscription_activation_verify_api_subscription_activation_verify_get,/api/subscription/activation/verify,GET,TBD,RO,TBD,backend-unknown,unmapped
Subscription,get_auto_renewal_api_subscription_auto_renewal_get,/api/subscription/auto-renewal,GET,TBD,RO,TBD,backend-unknown,unmapped
Subscription,update_auto_renewal_api_subscription_auto_renewal_update_post,/api/subscription/auto-renewal/update,POST,TBD,RW,TBD,backend-unknown,unmapped
subscription,cancel_subscription_api_subscription_cancel_post,/api/subscription/cancel,POST,TBD,RW,TBD,backend-unknown,unmapped
subscription-events,alert_check_subscription_events_api_subscription_events_alert_check_get,/api/subscription/events/alert/check,GET,TBD,RO,TBD,backend-unknown,unmapped
subscription-events,ingest_subscription_events_batch_api_subscription_events_batch_post,/api/subscription/events/batch,POST,TBD,RW,TBD,backend-unknown,unmapped
subscription-events,get_recent_subscription_events_api_subscription_events_recent_get,/api/subscription/events/recent,GET,TBD,RO,TBD,backend-unknown,unmapped
subscription-events,get_subscription_events_summary_api_subscription_events_stats_summary_get,/api/subscription/events/stats/summary,GET,TBD,RO,TBD,backend-unknown,unmapped
Subscription,get_purchase_history_api_subscription_purchase_history_get,/api/subscription/purchase-history,GET,TBD,RO,TBD,backend-unknown,unmapped
subscription,get_subscription_status_api_subscription_status_get,/api/subscription/status,GET,TBD,RO,TBD,backend-unknown,unmapped
Subscription,update_subscription_status_api_subscription_status_update_post,/api/subscription/status/update,POST,TBD,RW,TBD,backend-unknown,unmapped
subscription-compat,subscription_subscribe_api_subscription_subscribe_get,/api/subscription/subscribe,GET,TBD,RO,TBD,backend-unknown,unmapped
Subscription,sync_subscription_api_subscription_sync_post,/api/subscription/sync,POST,TBD,RW,TBD,backend-unknown,unmapped
subscription-compat,subscription_tariffs_api_subscription_tariffs_get,/api/subscription/tariffs,GET,TBD,RO,TBD,backend-unknown,unmapped
Subscription,update_subscription_api_subscription_update_post,/api/subscription/update,POST,TBD,RW,TBD,backend-unknown,unmapped
subscription,validate_receipt_api_subscription_validate_receipt_post,/api/subscription/validate-receipt,POST,TBD,RW,TBD,backend-unknown,unmapped
System Management,create_backup_api_system_backup_post,/api/system/backup,POST,TBD,RW,TBD,backend-unknown,unmapped
System Management,get_backup_status_api_system_backup_status_get,/api/system/backup/status,GET,TBD,RO,TBD,backend-unknown,unmapped
System Management,get_system_health_api_system_health_get,/api/system/health,GET,TBD,RO,TBD,backend-unknown,unmapped
System Management,get_system_info_api_system_info_get,/api/system/info,GET,TBD,RO,TBD,backend-unknown,unmapped
System Management,get_system_logs_api_system_logs_get,/api/system/logs,GET,TBD,RO,TBD,backend-unknown,unmapped
System Management,set_maintenance_mode_api_system_maintenance_post,/api/system/maintenance,POST,TBD,RW,TBD,backend-unknown,unmapped
System Management,get_system_metrics_api_system_metrics_get,/api/system/metrics,GET,TBD,RO,TBD,backend-unknown,unmapped
System Management,get_system_resources_api_system_resources_get,/api/system/resources,GET,TBD,RO,TBD,backend-unknown,unmapped
System Management,restart_system_api_system_restart_post,/api/system/restart,POST,TBD,RW,TBD,backend-unknown,unmapped
system-ai-compat,system_status_compat_api_system_status_get,/api/system/status,GET,TBD,RO,TBD,backend-unknown,unmapped
System Management,get_system_uptime_api_system_uptime_get,/api/system/uptime,GET,TBD,RO,TBD,backend-unknown,unmapped
System Management,get_system_version_api_system_version_get,/api/system/version,GET,TBD,RO,TBD,backend-unknown,unmapped
misc-other-compat,api_test_api_test_get,/api/test,GET,TBD,RO,TBD,backend-unknown,unmapped
user,user_2fa_status_compat_api_user_2fa_status_get,/api/user/2fa/status,GET,TBD,RO,TBD,backend-unknown,unmapped
user,user_2fa_update_compat_api_user_2fa_update_get,/api/user/2fa/update,GET,TBD,RO,TBD,backend-unknown,unmapped
user,delete_user_compat_api_user_delete_get,/api/user/delete,GET,TBD,RO,TBD,backend-unknown,unmapped
user,change_password_compat_api_user_password_get,/api/user/password,GET,TBD,RO,TBD,backend-unknown,unmapped
user,get_user_profile_compat_api_user_profile_get,/api/user/profile,GET,TBD,RO,TBD,backend-unknown,unmapped
User Profile,get_user_profile_history_api_user_profile_history_get,/api/user/profile/history,GET,TBD,RO,TBD,backend-unknown,unmapped
User Profile,get_user_privacy_settings_api_user_profile_privacy_get,/api/user/profile/privacy,GET,TBD,RO,TBD,backend-unknown,unmapped
User Profile,update_user_privacy_settings_api_user_profile_privacy_update_post,/api/user/profile/privacy/update,POST,TBD,RW,TBD,backend-unknown,unmapped
User Profile,sync_user_profile_api_user_profile_sync_post,/api/user/profile/sync,POST,TBD,RW,TBD,backend-unknown,unmapped
User Profile,update_user_profile_api_user_profile_update_post,/api/user/profile/update,POST,TBD,RW,TBD,backend-unknown,unmapped
user,update_user_compat_api_user_update_get,/api/user/update,GET,TBD,RO,TBD,backend-unknown,unmapped
Parental Control Legacy,get_legacy_access_requests_api_v1_parental_control_access_requests_get,/api/v1/parental-control/access-requests,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control Legacy,handle_legacy_access_request_api_v1_parental_control_access_requests_post,/api/v1/parental-control/access-requests,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control Legacy,get_legacy_parental_blocking_api_v1_parental_control_blocking_get,/api/v1/parental-control/blocking,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control Legacy,get_legacy_location_geofences_api_v1_parental_control_location_geofences_get,/api/v1/parental-control/location/geofences,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control Legacy,track_legacy_location_api_v1_parental_control_location_track_post,/api/v1/parental-control/location/track,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control Legacy,apply_legacy_parental_rules_api_v1_parental_control_rules_post,/api/v1/parental-control/rules,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control Legacy,get_legacy_stats_api_v1_parental_control_stats_get,/api/v1/parental-control/stats,GET,TBD,RO,TBD,parental-team,unmapped
other,wildcard_handler_api__path__get,/api/{path},DELETE,TBD,RW,TBD,backend-unknown,unmapped
other,wildcard_handler_api__path__get,/api/{path},GET,TBD,RO,TBD,backend-unknown,unmapped
other,wildcard_handler_api__path__get,/api/{path},POST,TBD,RW,TBD,backend-unknown,unmapped
other,wildcard_handler_api__path__get,/api/{path},PUT,TBD,RW,TBD,backend-unknown,unmapped
other,prometheus_metrics_metrics_get,/metrics,GET,TBD,RO,TBD,backend-unknown,unmapped
