[2026-03-31 00:56:43] autofinalize started
[2026-03-31 00:56:43] tracking samples file: docs/release/soak/soak-20260330_172810.samples.jsonl
[2026-03-31 17:06:07] progress: samples=116, hours=23.63, now<due=True
[2026-03-31 17:11:07] progress: samples=117, hours=23.71, now<due=True
[2026-03-31 17:16:07] progress: samples=118, hours=23.79, now<due=True
[2026-03-31 17:21:07] progress: samples=119, hours=23.88, now<due=True
[2026-03-31 17:26:07] progress: samples=120, hours=23.96, now<due=True
[2026-03-31 17:31:07] progress: samples=120, hours=23.96, now<due=False
[2026-03-31 17:31:07] 24h window reached, waiting up to 10m for soak summary file
[2026-03-31 17:31:07] found summary: docs/release/soak/soak-20260330_172810.summary.json
[2026-03-31 17:31:07] running release_go_no_go_aggregator.py
[2026-03-31 17:31:08] aggregator rc=0
[2026-03-31 17:31:08] decision=NO_GO
report=docs/release/release-gate-report.json
markdown=docs/release/go-no-go.md
[2026-03-31 17:31:08] autofinalize completed
