component,function,endpoint,method,auth,expected,dto,db_source,status
Components,get_component_dependencies_api_components_dependencies__component_id__get,/api/components/dependencies/{component_id},GET,unknown,Get Component Dependencies,unknown,unknown,to_verify
components,disable_component_compat_api_components_disable_get,/api/components/disable,GET,unknown,Disable Component Compat,unknown,unknown,to_verify
Components,disable_component_api_components_disable__component_id__post,/api/components/disable/{component_id},POST,unknown,Disable Component,unknown,unknown,to_verify
components,enable_component_compat_api_components_enable_get,/api/components/enable,GET,unknown,Enable Component Compat,unknown,unknown,to_verify
Components,enable_component_api_components_enable__component_id__post,/api/components/enable/{component_id},POST,unknown,Enable Component,unknown,unknown,to_verify
Components,get_components_health_api_components_health_get,/api/components/health,GET,unknown,Get Components Health,unknown,unknown,to_verify
Components,get_components_list_api_components_list_get,/api/components/list,GET,unknown,Get Components List,unknown,unknown,to_verify
Components,get_component_logs_api_components_logs__component_id__get,/api/components/logs/{component_id},GET,unknown,Get Component Logs,unknown,unknown,to_verify
Components,get_component_metrics_api_components_metrics__component_id__get,/api/components/metrics/{component_id},GET,unknown,Get Component Metrics,unknown,unknown,to_verify
Components,restart_component_api_components_restart__component_id__post,/api/components/restart/{component_id},POST,unknown,Restart Component,unknown,unknown,to_verify
components,get_components_status_compat_api_components_status_get,/api/components/status,GET,unknown,Get Components Status Compat,unknown,unknown,to_verify
Components,get_all_components_status_api_components_status_all_get,/api/components/status/all,GET,unknown,Get All Components Status,unknown,unknown,to_verify
Components,get_component_status_api_components_status__component_id__get,/api/components/status/{component_id},GET,unknown,Get Component Status,unknown,unknown,to_verify
components,update_component_status_compat_api_components_status__component_id__post,/api/components/status/{component_id},POST,unknown,Update Component Status Compat,unknown,unknown,to_verify
Components,test_component_api_components_test__component_id__post,/api/components/test/{component_id},POST,unknown,Test Component,unknown,unknown,to_verify
Components,update_component_api_components_update__component_id__post,/api/components/update/{component_id},POST,unknown,Update Component,unknown,unknown,to_verify
crash-detection-compat,crash_detection_alert_api_crash_detection_alert_get,/api/crash-detection/alert,GET,unknown,Crash Detection Alert,unknown,unknown,to_verify
Crash Detection,cancel_emergency_call_api_crash_detection_cancel_emergency_call_post,/api/crash-detection/cancel-emergency-call,POST,unknown,Отмена вызова экстренной службы,unknown,unknown,to_verify
Crash Detection,process_sensor_data_api_crash_detection_data_post,/api/crash-detection/data,POST,unknown,Отправка данных сенсоров,unknown,unknown,to_verify
Crash Detection,call_emergency_api_crash_detection_emergency_call_post,/api/crash-detection/emergency-call,POST,unknown,Ручной вызов экстренной службы,unknown,unknown,to_verify
Crash Detection,health_check_api_crash_detection_health_get,/api/crash-detection/health,GET,unknown,Health check,unknown,unknown,to_verify
Crash Detection,get_crash_history_api_crash_detection_history_get,/api/crash-detection/history,GET,unknown,История аварий,unknown,unknown,to_verify
Crash Detection,get_crash_notifications_api_crash_detection_notifications_get,/api/crash-detection/notifications,GET,unknown,Get Crash Notifications,unknown,unknown,to_verify
Crash Detection,send_crash_notification_api_crash_detection_notifications_send_post,/api/crash-detection/notifications/send,POST,unknown,Send Crash Notification,unknown,unknown,to_verify
Crash Detection,report_crash_api_crash_detection_report_post,/api/crash-detection/report,POST,unknown,Report Crash,unknown,unknown,to_verify
crash-detection-compat,crash_detection_settings_update_api_crash_detection_settings_update_get,/api/crash-detection/settings/update,GET,unknown,Crash Detection Settings Update,unknown,unknown,to_verify
crash-detection-compat,crash_detection_setup_api_crash_detection_setup_get,/api/crash-detection/setup,GET,unknown,Crash Detection Setup,unknown,unknown,to_verify
Crash Detection,start_monitoring_api_crash_detection_start_post,/api/crash-detection/start,POST,unknown,Запуск мониторинга аварий,unknown,unknown,to_verify
Crash Detection,get_status_api_crash_detection_status_get,/api/crash-detection/status,GET,unknown,Статус мониторинга,unknown,unknown,to_verify
Crash Detection,stop_monitoring_api_crash_detection_stop_post,/api/crash-detection/stop,POST,unknown,Остановка мониторинга аварий,unknown,unknown,to_verify
Crash Detection,sync_crash_detection_api_crash_detection_sync_post,/api/crash-detection/sync,POST,unknown,Sync Crash Detection,unknown,unknown,to_verify
Dark Web Monitoring,get_breaches_api_darkweb_breaches_get,/api/darkweb/breaches,GET,unknown,Получение всех утечек,unknown,unknown,to_verify
Dark Web Monitoring,check_email_breach_api_darkweb_check_post,/api/darkweb/check,POST,unknown,Проверка email на утечки,unknown,unknown,to_verify
Dark Web Monitoring,health_check_api_darkweb_health_get,/api/darkweb/health,GET,unknown,Health check,unknown,unknown,to_verify
Dark Web Monitoring,start_monitoring_api_darkweb_start_monitoring_post,/api/darkweb/start-monitoring,POST,unknown,Запуск мониторинга,unknown,unknown,to_verify
Dark Web Monitoring,get_monitoring_status_api_darkweb_status_get,/api/darkweb/status,GET,unknown,Статус мониторинга,unknown,unknown,to_verify
Dark Web Monitoring,stop_monitoring_api_darkweb_stop_monitoring_post,/api/darkweb/stop-monitoring,POST,unknown,Остановка мониторинга,unknown,unknown,to_verify
Data Cleanup,health_check_api_data_cleanup_health_get,/api/data-cleanup/health,GET,unknown,Проверка работоспособности агента,unknown,unknown,to_verify
Data Cleanup,trigger_periodic_scan_api_data_cleanup_periodic_scan_post,/api/data-cleanup/periodic-scan,POST,unknown,Запустить периодический поиск (если нужно),unknown,unknown,to_verify
Data Cleanup,get_user_preferences_api_data_cleanup_preferences_get,/api/data-cleanup/preferences,GET,unknown,Получить настройки пользователя,unknown,unknown,to_verify
Data Cleanup,update_user_preferences_api_data_cleanup_preferences_post,/api/data-cleanup/preferences,POST,unknown,Обновить настройки пользователя,unknown,unknown,to_verify
Data Cleanup,remove_data_from_sites_api_data_cleanup_remove_post,/api/data-cleanup/remove,POST,unknown,Отправить запросы на удаление данных,unknown,unknown,to_verify
Data Cleanup,get_cleanup_report_api_data_cleanup_report_get,/api/data-cleanup/report,GET,unknown,Получить отчет о процессе очистки,unknown,unknown,to_verify
Data Cleanup,scan_broker_sites_api_data_cleanup_scan_post,/api/data-cleanup/scan,POST,unknown,Сканировать брокерские сайты на наличие данных,unknown,unknown,to_verify
Data Cleanup,get_scan_status_api_data_cleanup_scan_status_get,/api/data-cleanup/scan-status,GET,unknown,Получить статус последнего поиска,unknown,unknown,to_verify
Data Cleanup,get_removal_status_api_data_cleanup_status_get,/api/data-cleanup/status,GET,unknown,Получить статус удаления данных,unknown,unknown,to_verify
misc-other-compat,devices_list_api_devices_get,/api/devices,GET,unknown,Devices List,unknown,unknown,to_verify
driving-reports,record_event_api_driving_reports_event_post,/api/driving-reports/event,POST,unknown,Запись события вождения,unknown,unknown,to_verify
driving-reports,generate_report_api_driving_reports_generate_post,/api/driving-reports/generate,POST,unknown,Генерация отчета о вождении,unknown,unknown,to_verify
driving-reports,health_check_api_driving_reports_health_get,/api/driving-reports/health,GET,unknown,Health check,unknown,unknown,to_verify
driving-reports,get_monthly_report_api_driving_reports_monthly__user_id__get,/api/driving-reports/monthly/{user_id},GET,unknown,Месячный отчет,unknown,unknown,to_verify
driving-reports,get_recommendations_api_driving_reports_recommendations__user_id__get,/api/driving-reports/recommendations/{user_id},GET,unknown,Рекомендации по улучшению,unknown,unknown,to_verify
driving-reports,get_report_api_driving_reports_report__report_id__get,/api/driving-reports/report/{report_id},GET,unknown,Получение отчета по ID,unknown,unknown,to_verify
driving-reports,get_safety_score_api_driving_reports_safety_score__user_id__get,/api/driving-reports/safety-score/{user_id},GET,unknown,Оценка безопасности вождения,unknown,unknown,to_verify
driving-reports,start_monitoring_api_driving_reports_start_post,/api/driving-reports/start,POST,unknown,Запуск мониторинга вождения,unknown,unknown,to_verify
driving-reports,stop_monitoring_api_driving_reports_stop_post,/api/driving-reports/stop,POST,unknown,Остановка мониторинга вождения,unknown,unknown,to_verify
driving-reports,get_violations_statistics_api_driving_reports_violations__user_id__get,/api/driving-reports/violations/{user_id},GET,unknown,Статистика нарушений,unknown,unknown,to_verify
driving-reports,get_weekly_report_api_driving_reports_weekly__user_id__get,/api/driving-reports/weekly/{user_id},GET,unknown,Недельный отчет,unknown,unknown,to_verify
Elderly Interface,sync_appointments_api_elderly_appointments_sync_post,/api/elderly/appointments/sync,POST,unknown,Sync Appointments,unknown,unknown,to_verify
Elderly Interface,update_appointment_api_elderly_appointments_update_post,/api/elderly/appointments/update,POST,unknown,Update Appointment,unknown,unknown,to_verify
Elderly Interface,sync_medications_api_elderly_medications_sync_post,/api/elderly/medications/sync,POST,unknown,Sync Medications,unknown,unknown,to_verify
Elderly Interface,update_medication_api_elderly_medications_update_post,/api/elderly/medications/update,POST,unknown,Update Medication,unknown,unknown,to_verify
family,add_family_member_compat_api_family_add_get,/api/family/add,GET,unknown,Add Family Member Compat,unknown,unknown,to_verify
family,family_chat_messages_compat_api_family_chat_messages_get,/api/family/chat/messages,GET,unknown,Family Chat Messages Compat,unknown,unknown,to_verify
family,family_chat_send_compat_api_family_chat_send_get,/api/family/chat/send,GET,unknown,Family Chat Send Compat,unknown,unknown,to_verify
family,create_family_endpoint_api_family_create_post,/api/family/create,POST,unknown,Create Family Endpoint,unknown,unknown,to_verify
family,join_family_compat_api_family_join_get,/api/family/join,GET,unknown,Join Family Compat,unknown,unknown,to_verify
family,get_family_member_compat_api_family_member_get,/api/family/member,GET,unknown,Get Family Member Compat,unknown,unknown,to_verify
family,get_family_members_compat_api_family_members_get,/api/family/members,GET,unknown,Get Family Members Compat,unknown,unknown,to_verify
family,recover_family_compat_api_family_recover_get,/api/family/recover,GET,unknown,Recover Family Compat,unknown,unknown,to_verify
family,remove_family_member_api_family_remove_delete,/api/family/remove,DELETE,unknown,Remove Family Member,unknown,unknown,to_verify
family,remove_family_member_compat_api_family_remove_get,/api/family/remove,GET,unknown,Remove Family Member Compat,unknown,unknown,to_verify
family,get_family_stats_api_family_stats_get,/api/family/stats,GET,unknown,Get Family Stats,unknown,unknown,to_verify
Gamification,get_gamification_achievements_api_gamification_achievements_get,/api/gamification/achievements,GET,unknown,Get Gamification Achievements,unknown,unknown,to_verify
Gamification,claim_gamification_achievement_api_gamification_achievements_claim_get,/api/gamification/achievements/claim,GET,unknown,Claim Gamification Achievement,unknown,unknown,to_verify
Gamification,get_gamification_achievements_progress_api_gamification_achievements_progress_get,/api/gamification/achievements/progress,GET,unknown,Get Gamification Achievements Progress,unknown,unknown,to_verify
Gamification,unlock_gamification_achievement_api_gamification_achievements_unlock_get,/api/gamification/achievements/unlock,GET,unknown,Unlock Gamification Achievement,unknown,unknown,to_verify
Gamification,get_gamification_balance_current_api_gamification_balance_get,/api/gamification/balance,GET,unknown,Get Gamification Balance Current,unknown,unknown,to_verify
Gamification,get_gamification_balance_api_gamification_balance__userId__get,/api/gamification/balance/{userId},GET,unknown,Get Gamification Balance,unknown,unknown,to_verify
Gamification,get_gamification_progress_api_gamification_progress_get,/api/gamification/progress,GET,unknown,Get Gamification Progress,unknown,unknown,to_verify
Gamification,get_gamification_progress_level_api_gamification_progress_level_get,/api/gamification/progress/level,GET,unknown,Get Gamification Progress Level,unknown,unknown,to_verify
Gamification,reset_gamification_progress_api_gamification_progress_reset_get,/api/gamification/progress/reset,GET,unknown,Reset Gamification Progress,unknown,unknown,to_verify
Gamification,get_gamification_progress_stats_api_gamification_progress_stats_get,/api/gamification/progress/stats,GET,unknown,Get Gamification Progress Stats,unknown,unknown,to_verify
Gamification,update_gamification_progress_api_gamification_progress_update_get,/api/gamification/progress/update,GET,unknown,Update Gamification Progress,unknown,unknown,to_verify
Gamification,get_gamification_rewards_api_gamification_rewards_get,/api/gamification/rewards,GET,unknown,Get Gamification Rewards,unknown,unknown,to_verify
Gamification,claim_gamification_reward_api_gamification_rewards_claim_get,/api/gamification/rewards/claim,GET,unknown,Claim Gamification Reward,unknown,unknown,to_verify
Gamification,give_gamification_reward_api_gamification_rewards_give_get,/api/gamification/rewards/give,GET,unknown,Give Gamification Reward,unknown,unknown,to_verify
Gamification,get_gamification_rewards_history_api_gamification_rewards_history_get,/api/gamification/rewards/history,GET,unknown,Get Gamification Rewards History,unknown,unknown,to_verify
Gamification,purchase_gamification_reward_api_gamification_rewards_purchase_get,/api/gamification/rewards/purchase,GET,unknown,Purchase Gamification Reward,unknown,unknown,to_verify
Gamification,get_gamification_rewards_shop_api_gamification_rewards_shop_get,/api/gamification/rewards/shop,GET,unknown,Get Gamification Rewards Shop,unknown,unknown,to_verify
Gamification,get_gamification_settings_api_gamification_settings_get,/api/gamification/settings,GET,unknown,Get Gamification Settings,unknown,unknown,to_verify
Gamification,get_gamification_notifications_settings_api_gamification_settings_notifications_get,/api/gamification/settings/notifications,GET,unknown,Get Gamification Notifications Settings,unknown,unknown,to_verify
Gamification,update_gamification_notifications_settings_api_gamification_settings_notifications_update_get,/api/gamification/settings/notifications/update,GET,unknown,Update Gamification Notifications Settings,unknown,unknown,to_verify
Gamification,update_gamification_settings_api_gamification_settings_update_get,/api/gamification/settings/update,GET,unknown,Update Gamification Settings,unknown,unknown,to_verify
Gamification,get_gamification_tournaments_api_gamification_tournaments_get,/api/gamification/tournaments,GET,unknown,Get Gamification Tournaments,unknown,unknown,to_verify
Gamification,get_gamification_tournaments_history_api_gamification_tournaments_history_get,/api/gamification/tournaments/history,GET,unknown,Get Gamification Tournaments History,unknown,unknown,to_verify
Gamification,join_gamification_tournament_api_gamification_tournaments_join_get,/api/gamification/tournaments/join,GET,unknown,Join Gamification Tournament,unknown,unknown,to_verify
Gamification,get_gamification_tournaments_leaderboard_api_gamification_tournaments_leaderboard_get,/api/gamification/tournaments/leaderboard,GET,unknown,Get Gamification Tournaments Leaderboard,unknown,unknown,to_verify
Gamification,leave_gamification_tournament_api_gamification_tournaments_leave_get,/api/gamification/tournaments/leave,GET,unknown,Leave Gamification Tournament,unknown,unknown,to_verify
unclassified,health_api_health_get,/api/health,GET,unknown,Health,unknown,unknown,to_verify
Identity Theft Protection,get_alerts_api_identity_theft_alerts_get,/api/identity-theft/alerts,GET,unknown,Получение алертов,unknown,unknown,to_verify
Identity Theft Protection,check_fraud_database_api_identity_theft_check_post,/api/identity-theft/check,POST,unknown,Проверка в базе мошенников,unknown,unknown,to_verify
Identity Theft Protection,give_consent_api_identity_theft_consent_post,/api/identity-theft/consent,POST,unknown,Предоставление согласия,unknown,unknown,to_verify
Identity Theft Protection,get_credit_freeze_instructions_api_identity_theft_credit_freeze_instructions_get,/api/identity-theft/credit-freeze-instructions,GET,unknown,Инструкции по заморозке кредитной истории,unknown,unknown,to_verify
Identity Theft Protection,detect_identity_theft_api_identity_theft_detect_post,/api/identity-theft/detect,POST,unknown,Обнаружение кражи личности,unknown,unknown,to_verify
Identity Theft Protection,health_check_api_identity_theft_health_get,/api/identity-theft/health,GET,unknown,Health check,unknown,unknown,to_verify
Identity Theft Protection,monitor_credit_api_identity_theft_monitor_credit_post,/api/identity-theft/monitor-credit,POST,unknown,Мониторинг кредитного отчета,unknown,unknown,to_verify
Identity Theft Protection,monitor_snils_api_identity_theft_monitor_snils_post,/api/identity-theft/monitor-snils,POST,unknown,Мониторинг СНИЛС,unknown,unknown,to_verify
Identity Theft Protection,revoke_consent_api_identity_theft_revoke_consent_post,/api/identity-theft/revoke-consent,POST,unknown,Отзыв согласия,unknown,unknown,to_verify
Identity Theft Protection,get_monitoring_status_api_identity_theft_status_get,/api/identity-theft/status,GET,unknown,Статус мониторинга,unknown,unknown,to_verify
Identity Theft Protection,stop_monitoring_api_identity_theft_stop_monitoring_post,/api/identity-theft/stop-monitoring,POST,unknown,Остановка мониторинга,unknown,unknown,to_verify
IoT,block_iot_device_api_iot_device__deviceId__block_post,/api/iot/device/{deviceId}/block,POST,unknown,Block Iot Device,unknown,unknown,to_verify
IoT,get_iot_devices_api_iot_devices__homeId__get,/api/iot/devices/{homeId},GET,unknown,Get Iot Devices,unknown,unknown,to_verify
IoT,fix_iot_threat_api_iot_fix__threatId__post,/api/iot/fix/{threatId},POST,unknown,Fix Iot Threat,unknown,unknown,to_verify
IoT,start_iot_scan_api_iot_scan__homeId__post,/api/iot/scan/{homeId},POST,unknown,Start Iot Scan,unknown,unknown,to_verify
IoT,get_iot_status_api_iot_status__homeId__get,/api/iot/status/{homeId},GET,unknown,Get Iot Status,unknown,unknown,to_verify
IoT,get_iot_threats_api_iot_threats__homeId__get,/api/iot/threats/{homeId},GET,unknown,Get Iot Threats,unknown,unknown,to_verify
Location Bubble,get_bubble_location_api_location_bubble_post,/api/location/bubble,POST,unknown,Генерировать приблизительное местоположение (пузырь),unknown,unknown,to_verify
Location Bubble,health_check_api_location_bubble_health_get,/api/location/bubble/health,GET,unknown,Health check,unknown,unknown,to_verify
Location Bubble,get_generation_history_api_location_bubble_history_get,/api/location/bubble/history,GET,unknown,Получить историю генераций пузырей,unknown,unknown,to_verify
Location Bubble,get_person_settings_api_location_bubble_settings_get,/api/location/bubble/settings,GET,unknown,Получить настройки пузыря для человека,unknown,unknown,to_verify
Location Bubble,set_person_settings_api_location_bubble_settings_post,/api/location/bubble/settings,POST,unknown,Установить настройки пузыря для человека,unknown,unknown,to_verify
Location Bubble,get_all_person_settings_api_location_bubble_settings_all_get,/api/location/bubble/settings/all,GET,unknown,Получить все настройки пузырей для пользователя,unknown,unknown,to_verify
misc-other-compat,location_geofences_api_location_geofences_get,/api/location/geofences,GET,unknown,Location Geofences,unknown,unknown,to_verify
Other Functions,sync_location_geofences_api_location_geofences_sync_post,/api/location/geofences/sync,POST,unknown,Sync Location Geofences,unknown,unknown,to_verify
Other Functions,update_location_geofence_api_location_geofences_update_post,/api/location/geofences/update,POST,unknown,Update Location Geofence,unknown,unknown,to_verify
Other Functions,delete_location_geofence_api_location_geofences__geofenceId__delete,/api/location/geofences/{geofenceId},DELETE,unknown,Delete Location Geofence,unknown,unknown,to_verify
Other Functions,get_movement_history_api_location_movement_history_get,/api/location/movement-history,GET,unknown,Get Movement History,unknown,unknown,to_verify
Other Functions,update_movement_history_api_location_movement_history_update_post,/api/location/movement-history/update,POST,unknown,Update Movement History,unknown,unknown,to_verify
Other Functions,get_location_status_api_location_status_get,/api/location/status,GET,unknown,Get Location Status,unknown,unknown,to_verify
Other Functions,update_location_status_api_location_status_update_post,/api/location/status/update,POST,unknown,Update Location Status,unknown,unknown,to_verify
misc-other-compat,malware_quarantine_action_api_malware_quarantine_action_get,/api/malware/quarantine/action,GET,unknown,Malware Quarantine Action,unknown,unknown,to_verify
misc-other-compat,malware_threats_api_malware_threats_get,/api/malware/threats,GET,unknown,Malware Threats,unknown,unknown,to_verify
Metrics,upload_metrics_api_metrics_upload_post,/api/metrics/upload,POST,unknown,Upload Metrics,unknown,unknown,to_verify
network-protection-compat,network_protection_config_api_network_protection_config_get,/api/network-protection/config,GET,unknown,Network Protection Config,unknown,unknown,to_verify
network-protection-compat,network_protection_connect_api_network_protection_connect_get,/api/network-protection/connect,GET,unknown,Network Protection Connect,unknown,unknown,to_verify
network-protection-compat,network_protection_disconnect_api_network_protection_disconnect_get,/api/network-protection/disconnect,GET,unknown,Network Protection Disconnect,unknown,unknown,to_verify
network-protection-compat,network_protection_servers_api_network_protection_servers_get,/api/network-protection/servers,GET,unknown,Network Protection Servers,unknown,unknown,to_verify
network-protection-compat,network_protection_settings_api_network_protection_settings_get,/api/network-protection/settings,GET,unknown,Network Protection Settings,unknown,unknown,to_verify
network-protection-compat,patch_network_protection_settings_api_network_protection_settings_patch,/api/network-protection/settings,PATCH,unknown,Patch Network Protection Settings,unknown,unknown,to_verify
network-protection-compat,network_protection_stats_api_network_protection_stats_get,/api/network-protection/stats,GET,unknown,Network Protection Stats,unknown,unknown,to_verify
network-protection-compat,network_protection_status_api_network_protection_status_get,/api/network-protection/status,GET,unknown,Network Protection Status,unknown,unknown,to_verify
Notifications,list_notifications_api_notifications_get,/api/notifications,GET,unknown,List Notifications,unknown,unknown,to_verify
notifications-compat,notifications_archive_api_notifications_archive_get,/api/notifications/archive,GET,unknown,Notifications Archive,unknown,unknown,to_verify
notifications-compat,notifications_bulk_mark_read_api_notifications_bulk_mark_read_get,/api/notifications/bulk-mark-read,GET,unknown,Notifications Bulk Mark Read,unknown,unknown,to_verify
notifications-compat,notifications_categories_api_notifications_categories_get,/api/notifications/categories,GET,unknown,Notifications Categories,unknown,unknown,to_verify
Notifications,mark_notification_read_api_notifications_read_post,/api/notifications/read,POST,unknown,Mark Notification Read,unknown,unknown,to_verify
notifications-compat,notifications_stats_api_notifications_stats_get,/api/notifications/stats,GET,unknown,Notifications Stats,unknown,unknown,to_verify
Offline Storage,get_offline_data_api_offline_storage_data_get,/api/offline-storage/data,GET,unknown,Get Offline Data,unknown,unknown,to_verify
Offline Storage,update_offline_data_api_offline_storage_data_update_post,/api/offline-storage/data/update,POST,unknown,Update Offline Data,unknown,unknown,to_verify
Offline Storage,delete_offline_data_api_offline_storage_data__dataId__delete,/api/offline-storage/data/{dataId},DELETE,unknown,Delete Offline Data,unknown,unknown,to_verify
Offline Storage,resolve_offline_storage_conflicts_api_offline_storage_resolve_conflicts_post,/api/offline-storage/resolve-conflicts,POST,unknown,Resolve Offline Storage Conflicts,unknown,unknown,to_verify
Offline Storage,sync_offline_storage_api_offline_storage_sync_post,/api/offline-storage/sync,POST,unknown,Sync Offline Storage,unknown,unknown,to_verify
Parental Control,get_parental_app_blocks_api_parental_control_app_blocks_get,/api/parental-control/app-blocks,GET,unknown,Get Parental App Blocks,unknown,unknown,to_verify
Parental Control,sync_app_blocks_api_parental_control_app_blocks_sync_post,/api/parental-control/app-blocks/sync,POST,unknown,Sync App Blocks,unknown,unknown,to_verify
Parental Control,update_app_blocks_api_parental_control_app_blocks_update_post,/api/parental-control/app-blocks/update,POST,unknown,Update App Blocks,unknown,unknown,to_verify
Parental Control,get_app_blocks_api_parental_control_app_blocks__childId__get,/api/parental-control/app-blocks/{childId},GET,unknown,Get App Blocks,unknown,unknown,to_verify
Parental Control,get_dns_config_api_parental_control_dns_config_get,/api/parental-control/dns-config,GET,unknown,Get Dns Config,unknown,unknown,to_verify
Parental Control,get_parental_geofences_api_parental_control_geofences_get,/api/parental-control/geofences,GET,unknown,Get Parental Geofences,unknown,unknown,to_verify
Parental Control,add_geofence_api_parental_control_geofences_add_post,/api/parental-control/geofences/add,POST,unknown,Add Geofence,unknown,unknown,to_verify
Parental Control,update_geofence_api_parental_control_geofences_update_post,/api/parental-control/geofences/update,POST,unknown,Update Geofence,unknown,unknown,to_verify
Parental Control,get_geofences_api_parental_control_geofences__childId__get,/api/parental-control/geofences/{childId},GET,unknown,Get Geofences,unknown,unknown,to_verify
Parental Control,delete_geofence_api_parental_control_geofences__geofenceId__delete,/api/parental-control/geofences/{geofenceId},DELETE,unknown,Delete Geofence,unknown,unknown,to_verify
Parental Control,report_location_api_parental_control_location_report_post,/api/parental-control/location/report,POST,unknown,Report Location,unknown,unknown,to_verify
Parental Control,get_daily_reports_api_parental_control_reports_daily_get,/api/parental-control/reports/daily,GET,unknown,Get Daily Reports,unknown,unknown,to_verify
Parental Control,get_weekly_reports_api_parental_control_reports_weekly_get,/api/parental-control/reports/weekly,GET,unknown,Get Weekly Reports,unknown,unknown,to_verify
Parental Control,get_parental_schedules_api_parental_control_schedules_get,/api/parental-control/schedules,GET,unknown,Get Parental Schedules,unknown,unknown,to_verify
Parental Control,delete_schedule_api_parental_control_schedules_delete_post,/api/parental-control/schedules/delete,POST,unknown,Delete Schedule,unknown,unknown,to_verify
Parental Control,get_schedules_history_api_parental_control_schedules_history_get,/api/parental-control/schedules/history,GET,unknown,Get Schedules History,unknown,unknown,to_verify
Parental Control,update_schedule_api_parental_control_schedules_update_post,/api/parental-control/schedules/update,POST,unknown,Update Schedule,unknown,unknown,to_verify
Parental Control,get_schedules_api_parental_control_schedules__childId__get,/api/parental-control/schedules/{childId},GET,unknown,Get Schedules,unknown,unknown,to_verify
Parental Control,get_parental_settings_api_parental_control_settings_get,/api/parental-control/settings,GET,unknown,Get Parental Settings,unknown,unknown,to_verify
Parental Control,get_parental_control_settings_conflicts_api_parental_control_settings_conflicts_get,/api/parental-control/settings/conflicts,GET,unknown,Get Parental Control Settings Conflicts,unknown,unknown,to_verify
Parental Control,get_parental_control_settings_history_api_parental_control_settings_history_get,/api/parental-control/settings/history,GET,unknown,Get Parental Control Settings History,unknown,unknown,to_verify
Parental Control,sync_parental_control_settings_api_parental_control_settings_sync_post,/api/parental-control/settings/sync,POST,unknown,Sync Parental Control Settings,unknown,unknown,to_verify
Parental Control,update_parental_control_settings_api_parental_control_settings_update_post,/api/parental-control/settings/update,POST,unknown,Update Parental Control Settings,unknown,unknown,to_verify
Parental Control,get_parental_control_settings_api_parental_control_settings__familyId__get,/api/parental-control/settings/{familyId},GET,unknown,Get Parental Control Settings,unknown,unknown,to_verify
Parental Control,get_parental_control_stats_api_parental_control_stats_get,/api/parental-control/stats,GET,unknown,Get Parental Control Stats,unknown,unknown,to_verify
Parental Control,get_parental_manager_status_api_parental_control_status_get,/api/parental-control/status,GET,unknown,Get Parental Manager Status,unknown,unknown,to_verify
Parental Control,get_parental_time_limits_api_parental_control_time_limits_get,/api/parental-control/time-limits,GET,unknown,Get Parental Time Limits,unknown,unknown,to_verify
Parental Control,get_time_limits_history_api_parental_control_time_limits_history_get,/api/parental-control/time-limits/history,GET,unknown,Get Time Limits History,unknown,unknown,to_verify
Parental Control,reset_time_limits_api_parental_control_time_limits_reset_post,/api/parental-control/time-limits/reset,POST,unknown,Reset Time Limits,unknown,unknown,to_verify
Parental Control,update_time_limits_api_parental_control_time_limits_update_post,/api/parental-control/time-limits/update,POST,unknown,Update Time Limits,unknown,unknown,to_verify
Parental Control,get_time_limits_api_parental_control_time_limits__childId__get,/api/parental-control/time-limits/{childId},GET,unknown,Get Time Limits,unknown,unknown,to_verify
parental-compat,parental_block_api_parental_block_get,/api/parental/block,GET,unknown,Parental Block,unknown,unknown,to_verify
Parental Control Bypass,apply_bypass_protection_api_parental_bypass_apply_post,/api/parental/bypass/apply,POST,unknown,Apply Bypass Protection,unknown,unknown,to_verify
Parental Control Bypass,get_bypass_stats_api_parental_bypass_stats_get,/api/parental/bypass/stats,GET,unknown,Get Bypass Stats,unknown,unknown,to_verify
Parental Control Bypass,get_bypass_manager_status_api_parental_bypass_status_get,/api/parental/bypass/status,GET,unknown,Get Bypass Manager Status,unknown,unknown,to_verify
