component,function,endpoint,method,auth,expected,dto,db_source,status
Reports,get_driving_reports_stats_api_reports_driving_stats_get,/api/reports/driving/stats,GET,unknown,Get Driving Reports Stats,unknown,unknown,to_verify
Reports,reports_identity_theft_allow_api_reports_identity_theft_allow_get,/api/reports/identity-theft/allow,GET,unknown,Reports Identity Theft Allow,unknown,unknown,to_verify
Reports,reports_identity_theft_allow_post_api_reports_identity_theft_allow_post,/api/reports/identity-theft/allow,POST,unknown,Reports Identity Theft Allow Post,unknown,unknown,to_verify
Reports,reports_identity_theft_attempts_compat_api_reports_identity_theft_attempts_get,/api/reports/identity-theft/attempts,GET,unknown,Reports Identity Theft Attempts Compat,unknown,unknown,to_verify
Reports,reports_identity_theft_attempts_api_reports_identity_theft_attempts_list_get,/api/reports/identity-theft/attempts/list,GET,unknown,Reports Identity Theft Attempts,unknown,unknown,to_verify
Reports,reports_identity_theft_block_api_reports_identity_theft_block_get,/api/reports/identity-theft/block,GET,unknown,Reports Identity Theft Block,unknown,unknown,to_verify
Reports,reports_identity_theft_block_post_api_reports_identity_theft_block_post,/api/reports/identity-theft/block,POST,unknown,Reports Identity Theft Block Post,unknown,unknown,to_verify
Reports,get_identity_theft_stats_api_reports_identity_theft_stats_get,/api/reports/identity-theft/stats,GET,unknown,Get Identity Theft Stats,unknown,unknown,to_verify
Reports,reports_identity_theft_whitelist_api_reports_identity_theft_whitelist_get,/api/reports/identity-theft/whitelist,GET,unknown,Reports Identity Theft Whitelist,unknown,unknown,to_verify
Reports,reports_privacy_cleanup_records_compat_api_reports_privacy_cleanup_records_get,/api/reports/privacy/cleanup/records,GET,unknown,Reports Privacy Cleanup Records Compat,unknown,unknown,to_verify
Reports,reports_privacy_cleanup_records_api_reports_privacy_cleanup_records_list_get,/api/reports/privacy/cleanup/records/list,GET,unknown,Reports Privacy Cleanup Records,unknown,unknown,to_verify
Reports,reports_privacy_cleanup_start_api_reports_privacy_cleanup_start_get,/api/reports/privacy/cleanup/start,GET,unknown,Reports Privacy Cleanup Start,unknown,unknown,to_verify
Reports,reports_privacy_cleanup_start_post_api_reports_privacy_cleanup_start_post,/api/reports/privacy/cleanup/start,POST,unknown,Reports Privacy Cleanup Start Post,unknown,unknown,to_verify
Reports,get_cleanup_stats_api_reports_privacy_cleanup_stats_get,/api/reports/privacy/cleanup/stats,GET,unknown,Get Cleanup Stats,unknown,unknown,to_verify
Reports,reports_privacy_location_allow_api_reports_privacy_location_allow_get,/api/reports/privacy/location/allow,GET,unknown,Reports Privacy Location Allow,unknown,unknown,to_verify
Reports,reports_privacy_location_allow_post_api_reports_privacy_location_allow_post,/api/reports/privacy/location/allow,POST,unknown,Reports Privacy Location Allow Post,unknown,unknown,to_verify
Reports,reports_privacy_location_block_api_reports_privacy_location_block_get,/api/reports/privacy/location/block,GET,unknown,Reports Privacy Location Block,unknown,unknown,to_verify
Reports,reports_privacy_location_block_post_api_reports_privacy_location_block_post,/api/reports/privacy/location/block,POST,unknown,Reports Privacy Location Block Post,unknown,unknown,to_verify
Reports,reports_privacy_location_bubble_api_reports_privacy_location_bubble_get,/api/reports/privacy/location/bubble,GET,unknown,Reports Privacy Location Bubble,unknown,unknown,to_verify
Reports,reports_privacy_location_requests_compat_api_reports_privacy_location_requests_get,/api/reports/privacy/location/requests,GET,unknown,Reports Privacy Location Requests Compat,unknown,unknown,to_verify
Reports,reports_privacy_location_requests_api_reports_privacy_location_requests_list_get,/api/reports/privacy/location/requests/list,GET,unknown,Reports Privacy Location Requests,unknown,unknown,to_verify
Reports,reports_privacy_location_send_api_reports_privacy_location_send_get,/api/reports/privacy/location/send,GET,unknown,Reports Privacy Location Send,unknown,unknown,to_verify
Reports,get_location_stats_api_reports_privacy_location_stats_get,/api/reports/privacy/location/stats,GET,unknown,Get Location Stats,unknown,unknown,to_verify
Reports,reports_privacy_location_update_accuracy_api_reports_privacy_location_update_accuracy_get,/api/reports/privacy/location/update-accuracy,GET,unknown,Reports Privacy Location Update Accuracy,unknown,unknown,to_verify
Reports,get_tracker_stats_api_reports_privacy_tracker_stats_get,/api/reports/privacy/tracker/stats,GET,unknown,Get Tracker Stats,unknown,unknown,to_verify
Reports,reports_privacy_tracker_top_compat_api_reports_privacy_tracker_top_get,/api/reports/privacy/tracker/top,GET,unknown,Reports Privacy Tracker Top Compat,unknown,unknown,to_verify
Reports,reports_privacy_tracker_top_api_reports_privacy_tracker_top_list_get,/api/reports/privacy/tracker/top/list,GET,unknown,Reports Privacy Tracker Top,unknown,unknown,to_verify
Reports,reports_privacy_tracker_whitelist_api_reports_privacy_tracker_whitelist_get,/api/reports/privacy/tracker/whitelist,GET,unknown,Reports Privacy Tracker Whitelist,unknown,unknown,to_verify
Reports,reports_privacy_tracker_whitelist_post_api_reports_privacy_tracker_whitelist_post,/api/reports/privacy/tracker/whitelist,POST,unknown,Reports Privacy Tracker Whitelist Post,unknown,unknown,to_verify
Roadside Assistance,call_assistance_api_roadside_assistance_call_post,/api/roadside-assistance/call,POST,unknown,Вызов помощи на дороге,unknown,unknown,to_verify
Roadside Assistance,cancel_request_api_roadside_assistance_cancel__request_id__post,/api/roadside-assistance/cancel/{request_id},POST,unknown,Отменить запрос на помощь,unknown,unknown,to_verify
Roadside Assistance,health_check_api_roadside_assistance_health_get,/api/roadside-assistance/health,GET,unknown,Проверка работоспособности агента,unknown,unknown,to_verify
Roadside Assistance,get_history_api_roadside_assistance_history_get,/api/roadside-assistance/history,GET,unknown,Получить историю запросов,unknown,unknown,to_verify
Roadside Assistance,get_status_api_roadside_assistance_status__request_id__get,/api/roadside-assistance/status/{request_id},GET,unknown,Получить статус помощи,unknown,unknown,to_verify
App Settings,get_biometry_settings_api_settings_biometry_get,/api/settings/biometry,GET,unknown,Get Biometry Settings,unknown,unknown,to_verify
App Settings,update_biometry_settings_api_settings_biometry_update_post,/api/settings/biometry/update,POST,unknown,Update Biometry Settings,unknown,unknown,to_verify
App Settings,get_language_settings_api_settings_language_get,/api/settings/language,GET,unknown,Get Language Settings,unknown,unknown,to_verify
App Settings,update_language_settings_api_settings_language_update_post,/api/settings/language/update,POST,unknown,Update Language Settings,unknown,unknown,to_verify
App Settings,get_notification_settings_api_settings_notifications_get,/api/settings/notifications,GET,unknown,Get Notification Settings,unknown,unknown,to_verify
App Settings,update_notification_settings_api_settings_notifications_update_post,/api/settings/notifications/update,POST,unknown,Update Notification Settings,unknown,unknown,to_verify
App Settings,sync_app_settings_api_settings_sync_post,/api/settings/sync,POST,unknown,Sync App Settings,unknown,unknown,to_verify
App Settings,get_theme_settings_api_settings_theme_get,/api/settings/theme,GET,unknown,Get Theme Settings,unknown,unknown,to_verify
App Settings,update_theme_settings_api_settings_theme_update_post,/api/settings/theme/update,POST,unknown,Update Theme Settings,unknown,unknown,to_verify
App Settings,update_app_settings_api_settings_update_post,/api/settings/update,POST,unknown,Update App Settings,unknown,unknown,to_verify
subscription-compat,subscription_activate_api_subscription_activate_get,/api/subscription/activate,GET,unknown,Subscription Activate,unknown,unknown,to_verify
subscription-compat,subscription_activation_activate_api_subscription_activation_activate_get,/api/subscription/activation/activate,GET,unknown,Subscription Activation Activate,unknown,unknown,to_verify
subscription-compat,subscription_activation_verify_api_subscription_activation_verify_get,/api/subscription/activation/verify,GET,unknown,Subscription Activation Verify,unknown,unknown,to_verify
Subscription,get_auto_renewal_api_subscription_auto_renewal_get,/api/subscription/auto-renewal,GET,unknown,Get Auto Renewal,unknown,unknown,to_verify
Subscription,update_auto_renewal_api_subscription_auto_renewal_update_post,/api/subscription/auto-renewal/update,POST,unknown,Update Auto Renewal,unknown,unknown,to_verify
subscription,cancel_subscription_api_subscription_cancel_post,/api/subscription/cancel,POST,unknown,Cancel Subscription,unknown,unknown,to_verify
subscription-events,alert_check_subscription_events_api_subscription_events_alert_check_get,/api/subscription/events/alert/check,GET,unknown,Alert Check Subscription Events,unknown,unknown,to_verify
subscription-events,ingest_subscription_events_batch_api_subscription_events_batch_post,/api/subscription/events/batch,POST,unknown,Ingest Subscription Events Batch,unknown,unknown,to_verify
subscription-events,get_recent_subscription_events_api_subscription_events_recent_get,/api/subscription/events/recent,GET,unknown,Get Recent Subscription Events,unknown,unknown,to_verify
subscription-events,get_subscription_events_summary_api_subscription_events_stats_summary_get,/api/subscription/events/stats/summary,GET,unknown,Get Subscription Events Summary,unknown,unknown,to_verify
Subscription,get_purchase_history_api_subscription_purchase_history_get,/api/subscription/purchase-history,GET,unknown,Get Purchase History,unknown,unknown,to_verify
subscription,get_subscription_status_api_subscription_status_get,/api/subscription/status,GET,unknown,Get Subscription Status,unknown,unknown,to_verify
Subscription,update_subscription_status_api_subscription_status_update_post,/api/subscription/status/update,POST,unknown,Update Subscription Status,unknown,unknown,to_verify
subscription-compat,subscription_subscribe_api_subscription_subscribe_get,/api/subscription/subscribe,GET,unknown,Subscription Subscribe,unknown,unknown,to_verify
Subscription,sync_subscription_api_subscription_sync_post,/api/subscription/sync,POST,unknown,Sync Subscription,unknown,unknown,to_verify
subscription-compat,subscription_tariffs_api_subscription_tariffs_get,/api/subscription/tariffs,GET,unknown,Subscription Tariffs,unknown,unknown,to_verify
Subscription,update_subscription_api_subscription_update_post,/api/subscription/update,POST,unknown,Update Subscription,unknown,unknown,to_verify
subscription,validate_receipt_api_subscription_validate_receipt_post,/api/subscription/validate-receipt,POST,unknown,Validate Receipt,unknown,unknown,to_verify
System Management,create_backup_api_system_backup_post,/api/system/backup,POST,unknown,Create Backup,unknown,unknown,to_verify
System Management,get_backup_status_api_system_backup_status_get,/api/system/backup/status,GET,unknown,Get Backup Status,unknown,unknown,to_verify
System Management,get_system_health_api_system_health_get,/api/system/health,GET,unknown,Get System Health,unknown,unknown,to_verify
System Management,get_system_info_api_system_info_get,/api/system/info,GET,unknown,Get System Info,unknown,unknown,to_verify
System Management,get_system_logs_api_system_logs_get,/api/system/logs,GET,unknown,Get System Logs,unknown,unknown,to_verify
System Management,set_maintenance_mode_api_system_maintenance_post,/api/system/maintenance,POST,unknown,Set Maintenance Mode,unknown,unknown,to_verify
System Management,get_system_metrics_api_system_metrics_get,/api/system/metrics,GET,unknown,Get System Metrics,unknown,unknown,to_verify
System Management,get_system_resources_api_system_resources_get,/api/system/resources,GET,unknown,Get System Resources,unknown,unknown,to_verify
System Management,restart_system_api_system_restart_post,/api/system/restart,POST,unknown,Restart System,unknown,unknown,to_verify
system-ai-compat,system_status_compat_api_system_status_get,/api/system/status,GET,unknown,System Status Compat,unknown,unknown,to_verify
System Management,get_system_uptime_api_system_uptime_get,/api/system/uptime,GET,unknown,Get System Uptime,unknown,unknown,to_verify
System Management,get_system_version_api_system_version_get,/api/system/version,GET,unknown,Get System Version,unknown,unknown,to_verify
misc-other-compat,api_test_api_test_get,/api/test,GET,unknown,Api Test,unknown,unknown,to_verify
user,user_2fa_status_compat_api_user_2fa_status_get,/api/user/2fa/status,GET,unknown,User 2Fa Status Compat,unknown,unknown,to_verify
user,user_2fa_update_compat_api_user_2fa_update_get,/api/user/2fa/update,GET,unknown,User 2Fa Update Compat,unknown,unknown,to_verify
user,delete_user_compat_api_user_delete_get,/api/user/delete,GET,unknown,Delete User Compat,unknown,unknown,to_verify
user,change_password_compat_api_user_password_get,/api/user/password,GET,unknown,Change Password Compat,unknown,unknown,to_verify
user,get_user_profile_compat_api_user_profile_get,/api/user/profile,GET,unknown,Get User Profile Compat,unknown,unknown,to_verify
User Profile,get_user_profile_history_api_user_profile_history_get,/api/user/profile/history,GET,unknown,Get User Profile History,unknown,unknown,to_verify
User Profile,get_user_privacy_settings_api_user_profile_privacy_get,/api/user/profile/privacy,GET,unknown,Get User Privacy Settings,unknown,unknown,to_verify
User Profile,update_user_privacy_settings_api_user_profile_privacy_update_post,/api/user/profile/privacy/update,POST,unknown,Update User Privacy Settings,unknown,unknown,to_verify
User Profile,sync_user_profile_api_user_profile_sync_post,/api/user/profile/sync,POST,unknown,Sync User Profile,unknown,unknown,to_verify
User Profile,update_user_profile_api_user_profile_update_post,/api/user/profile/update,POST,unknown,Update User Profile,unknown,unknown,to_verify
user,update_user_compat_api_user_update_get,/api/user/update,GET,unknown,Update User Compat,unknown,unknown,to_verify
Parental Control Legacy,get_legacy_access_requests_api_v1_parental_control_access_requests_get,/api/v1/parental-control/access-requests,GET,unknown,Get Legacy Access Requests,unknown,unknown,to_verify
Parental Control Legacy,handle_legacy_access_request_api_v1_parental_control_access_requests_post,/api/v1/parental-control/access-requests,POST,unknown,Handle Legacy Access Request,unknown,unknown,to_verify
Parental Control Legacy,get_legacy_parental_blocking_api_v1_parental_control_blocking_get,/api/v1/parental-control/blocking,GET,unknown,Get Legacy Parental Blocking,unknown,unknown,to_verify
Parental Control Legacy,get_legacy_location_geofences_api_v1_parental_control_location_geofences_get,/api/v1/parental-control/location/geofences,GET,unknown,Get Legacy Location Geofences,unknown,unknown,to_verify
Parental Control Legacy,track_legacy_location_api_v1_parental_control_location_track_post,/api/v1/parental-control/location/track,POST,unknown,Track Legacy Location,unknown,unknown,to_verify
Parental Control Legacy,apply_legacy_parental_rules_api_v1_parental_control_rules_post,/api/v1/parental-control/rules,POST,unknown,Apply Legacy Parental Rules,unknown,unknown,to_verify
Parental Control Legacy,get_legacy_stats_api_v1_parental_control_stats_get,/api/v1/parental-control/stats,GET,unknown,Get Legacy Stats,unknown,unknown,to_verify
unclassified,wildcard_handler_api__path__get,/api/{path},DELETE,unknown,Wildcard Handler,unknown,unknown,to_verify
unclassified,wildcard_handler_api__path__get,/api/{path},GET,unknown,Wildcard Handler,unknown,unknown,to_verify
unclassified,wildcard_handler_api__path__get,/api/{path},POST,unknown,Wildcard Handler,unknown,unknown,to_verify
unclassified,wildcard_handler_api__path__get,/api/{path},PUT,unknown,Wildcard Handler,unknown,unknown,to_verify
unclassified,prometheus_metrics_metrics_get,/metrics,GET,unknown,Prometheus Metrics,unknown,unknown,to_verify
